submit time,student name,student id,teacher name,teacher id,course name,course id,homework title,request_id,homework id,homework content,isMarked,grade
2023 12 30 12 0 45,Dr. Chen,20211900,Mr. Johnson,20010062,Algorithms,ALG0712,Algorithms_hw1,Alghw_20211900_36,ALG0712001,URL_36,1,88
2023 10 18 16 30 20,yanger,20212000,Prof. Zhang,20010068,Software Engineering,SE0718,SE_hw1,SEhw_20212000_37,SE0718001,URL_37,1,90
2023 11 28 15 45 45,yanger,20212000,Prof. Zhang,20010068,Software Engineering,SE0718,SE_hw2,SEhw_20212000_38,SE0718002,URL_38,1,94
2023 12 18 9 45 25,yanger,20212000,Dr. Chen,20010065,Web Development,WEB0715,Web_hw1,Webhw_20212000_39,WEB0715001,URL_39,1,87
2023 12 29 14 15 0,yanger,20212000,Ms. Li,20010066,Data Science,DS0716,DS_hw1,DShw_20212000_40,DS0716001,URL_40,1,91
2023 12 1 18 53 7,zhangsan,20210700,Doc Lee,20010060,OS,CS0710,OS_EXTRA,OS_hw1,CS0710004,ESSAYOS,0,0
2023 12 4 21 27 22,zhangsan,20210700,Ms. Smith,20010061,Database,DB0711,How_to_Create_A_Join,DB_hw8,CS0710005,HAHAHA,0,0
2023 12 4 21 58 58,zhangsan,20210700,Doc Lee,20010060,OS,CS0710,haha_haha,OS_hw1,CS0710006,haha1204,0,0
2023 12 4 21 59 40,zhangsan,20210700,Ms. Kim,20010063,Networks,NTW0713,hahanetwork,NTW_hw4,CS0710007,Network_sup,0,0
2023 12 4 22 2 40,zhangsan,20210700,Ms. Smith,20010061,Database,DB0711,DB_YYQ,DB_hw7,CS0710008,DB_WOW,0,0
2023 12 4 22 3 47,zhangsan,20210700,Doc Lee,20010060,OS,CS0710,ESSAY_YYQ,OS_extra2,CS0710009,ESSAY4UONLY,0,0
2023 12 5 12 15 16,haha,s123456,Doc Lee,20010060,OS,CS0710,Homework Assignment 1,testRequest,testHWID1,Append Test,0,0
2023 12 5 17 46 27,haha,s123456,hahaha,t789012,Computer Science Introduction,CS101,Homework Assignment 2,testRequest,testHWID2,Append Test,0,0
2023 12 13 11 30 27,haha,s123456,hahaha,t789012,Computer Science Introduction,CS101,Homework Assignment 3,testRequest,testHWID3,Append Test,0,0
